,Name,ChW,TotCh,ChW%,SO,VFB,VAP,TotV,TCA,TC%,wTCR,TotJ,SurvSc,SurvAv,Days,Non-VFB,InRCA,InRCW,InICA,InICW,InChA,InChW,Season,TRCA,TRCW,TICA,TICW,TChA,TChW,TChW%,Exile,age,state,Won,Name_Index,state_D.C.,season,gender,occupation,Idols found,Idols held,Idols played,Votes voided,Boot avoided,Tie avoided
18,Jerri Manthey,2.09,6.09,0.34,0,4,12,48,6,0.63,1.17,7,0.97,3.26,27,2,1.0,1.0,3,0,4.0,1.0,2,6.0,3.0,5,2.0,11.0,5.0,0.454545455,0,30,California,0,18,0,2.0,0,Aspiring Actress,0.0,0.0,0.0,0.0,0.0,0.0
19,Mitchell Olson,0.39,0.99,0.4,0,2,4,21,3,0.6,2.33,7,1.0,2.73,12,1,0.0,0.0,0,0,0.0,0.0,2,3.0,2.0,4,1.0,7.0,3.0,0.428571429,0,23,New Jersey,0,19,0,2.0,1,Singer/Songwriter,0.0,0.0,0.0,0.0,0.0,0.0
20,Jeff Varner,0.97,2.53,0.38,0,2,7,25,3,0.57,1.7,7,0.96,2.67,21,1,0.0,0.0,1,0,1.0,0.0,2,5.0,3.0,5,3.0,10.0,6.0,0.6,0,34,North Carolina,0,20,0,2.0,1,Internet Projects Manager,0.0,0.0,0.0,0.0,0.0,0.0
21,Alicia Calaway,0.97,4.53,0.21,0,2,5,34,4,0.46,1.56,7,0.68,2.53,24,2,1.0,0.0,2,0,3.0,0.0,2,5.0,3.0,5,3.0,10.0,6.0,0.6,0,32,New York,0,21,0,2.0,0,Personal Trainer,0.0,0.0,0.0,0.0,0.0,0.0
22,Elisabeth Filarski,0.97,12.03,0.08,0,4,5,64,9,0.44,1.38,7,0.52,2.35,39,5,3.0,0.0,7,0,10.0,0.0,2,6.0,3.0,5,3.0,11.0,6.0,0.545454546,0,23,Massachusetts,0,22,0,2.0,0,Footwear Designer,0.0,0.0,0.0,0.0,0.0,0.0
23,Amber Brkich,0.59,9.09,0.07,0,5,6,61,8,0.61,1.75,7,0.68,2.34,33,3,2.0,0.0,5,0,7.0,0.0,2,6.0,2.0,5,2.0,11.0,4.0,0.363636364,0,22,Pennsylvania,0,23,0,2.0,0,Administrative Assistant,0.0,0.0,0.0,0.0,0.0,0.0
24,Rodger Bingham,0.57,10.03,0.06,2,4,5,60,8,0.49,1.56,7,0.55,2.13,36,4,2.0,0.0,6,0,8.0,0.0,2,6.0,1.0,5,3.0,11.0,4.0,0.363636364,0,53,Kentucky,0,24,0,2.0,1,Teacher/Farmer,0.0,0.0,0.0,0.0,0.0,0.0
25,Kimmi Kappenberg,0.57,1.33,0.43,1,1,6,15,2,0.3,1.4,7,0.73,1.97,15,1,0.0,0.0,0,0,0.0,0.0,2,4.0,1.0,5,3.0,9.0,4.0,0.444444444,0,27,New York,0,25,0,2.0,0,Bartender,0.0,0.0,0.0,0.0,0.0,0.0
26,Maralyn Hershey,0.39,0.66,0.59,0,1,5,15,2,0.33,1.56,7,0.93,1.95,9,1,0.0,0.0,0,0,0.0,0.0,2,2.0,2.0,3,1.0,5.0,3.0,0.6,0,51,Virginia,0,26,0,2.0,0,Retired Police Officer,0.0,0.0,0.0,0.0,0.0,0.0
27,Kel Gleason,0.25,0.38,0.67,0,0,7,8,1,-0.88,0.0,7,-0.21,0.25,6,1,0.0,0.0,0,0,0.0,0.0,2,1.0,1.0,2,1.0,3.0,2.0,0.666666667,0,32,Texas,0,27,0,2.0,1,Army Intelligence Officer,0.0,0.0,0.0,0.0,0.0,0.0
28,Debb Eaton,0.0,0.13,0.0,0,0,7,8,1,-0.88,0.0,7,-0.88,0.0,3,1,0.0,0.0,0,0,0.0,0.0,2,0.0,0.0,1,0.0,1.0,0.0,0.0,0,45,New Hampshire,0,28,0,2.0,0,Corrections Officer,0.0,0.0,0.0,0.0,0.0,0.0
29,Ethan Zohn,2.87,13.31,0.22,0,11,0,73,11,1.0,7.0,7,1.22,9.89,39,0,3.0,1.0,8,1,11.0,2.0,3,6.0,2.0,6,3.0,12.0,5.0,0.41666666700000005,0,27,Massachusetts,1,29,0,3.0,1,Professional Soccer Player,0.0,0.0,0.0,0.0,0.0,0.0
